CPTCode,ShortDescription
87806,HIV antigen w/HIV antibodies
87807,RSV assay w/optic
87808,Trichomonas assay w/optic
87809,Adenovirus assay w/optic
87810,Chylmd trach assay w/optic
87850,N. gonorrhoeae assay w/optic
87880,Strep A assay w/optic
87899,Agent NOS assay w/optic
87900,"Phenotype, infect agent drug"
87901,Genotype DNA HIV reverse t
87902,"Genotype, DNA/RNA hep C"
87903,"Phenotype, DNA HIV w/culture"
87904,"Phenotype, DNA HIV w/clt add"
87905,Sialidase enzyme assay
87906,Genotype DNA/RNA HIV
87910,Genotype cytomegalovirus
87912,Genotype DNA Hepatitis B
87999,Microbiology procedure
88000,"Autopsy (necropsy), gross"
88005,"Autopsy (necropsy), gross"
88007,"Autopsy (necropsy), gross"
88012,"Autopsy (necropsy), gross"
88014,"Autopsy (necropsy), gross"
88016,"Autopsy (necropsy), gross"
88020,"Autopsy (necropsy), complete"
88025,"Autopsy (necropsy), complete"
88027,"Autopsy (necropsy), complete"
88028,"Autopsy (necropsy), complete"
88029,"Autopsy (necropsy), complete"
88036,Limited autopsy
88037,Limited autopsy
88040,Forensic autopsy (necropsy)
88045,Coroner's autopsy (necropsy)
88099,Necropsy (autopsy) procedure
88104,"Cytopath fl nongyn, smears"
88106,"Cytopath fl nongyn, filter"
88108,"Cytopath, concentrate tech"
88112,"Cytopath, cell enhance tech"
88120,Cytp urne 3-5 probes ea spec
88121,Cytp urine 3-5 probes cmptr
88125,Forensic cytopathology
88130,Sex chromatin identification
88140,Sex chromatin identification
88141,"Cytopath, c/v, interpret"
88142,"Cytopath, c/v, thin layer"
88143,Cytopath c/v thin layer redo
88147,"Cytopath, c/v, automated"
88148,"Cytopath, c/v, auto rescreen"
88150,"Cytopath, c/v, manual"
88152,"Cytopath, c/v, auto redo"
88153,"Cytopath, c/v, redo"
88154,"Cytopath, c/v, select"
88155,"Cytopath, c/v, index add-on"
88160,"Cytopath smear, other source"
88161,"Cytopath smear, other source"
88162,"Cytopath smear, other source"
88164,"Cytopath TBS, c/v, manual"
88165,"Cytopath TBS, c/v, redo"
88166,"Cytopath TBS, c/v, auto redo"
88167,"Cytopath TBS, c/v, select"
88172,Cytp dx eval fna 1st ea site
88173,"Cytopath eval, FNA, report"
88174,"Cytopath, c/v auto, in fluid"
88175,Cytopath c/v auto fluid redo
88177,Cytp FNA eval ea addl
88182,Cell marker study
88184,"Flowcytometry/ tc, 1 marker"
88185,"Flowcytometry/tc, add-on"
88187,"Flowcytometry/read, 2-8"
88188,"Flowcytometry/read, 9-15"
88189,"Flowcytometry/read, 16 & >"
88199,Cytopathology procedure
88230,"Tissue culture, lymphocyte"
88233,"Tissue culture, skin/biopsy"
88235,"Tissue culture, placenta"
88237,"Tissue culture, bone marrow"
88239,"Tissue culture, tumor"
88240,Cell cryopreserve/storage
88241,Frozen cell preparation
88245,"Chromosome analysis, 20-25"
88248,"Chromosome analysis, 50-100"
88249,"Chromosome analysis, 100"
88261,"Chromosome analysis, 5"
88262,"Chromosome analysis, 15-20"
88263,"Chromosome analysis, 45"
88264,"Chromosome analysis, 20-25"
88267,"Chromosome analys, placenta"
88269,"Chromosome analys, amniotic"
88271,"Cytogenetics, DNA probe"
88272,"Cytogenetics, 3-5"
88273,"Cytogenetics, 10-30"
88274,"Cytogenetics, 25-99"
88275,"Cytogenetics, 100-300"
88280,Chromosome karyotype study
88283,Chromosome banding study
88285,"Chromosome count, additional"
88289,"Chromosome study, additional"
88291,Cyto/molecular report
88299,Cytogenetic study
88300,"Surgical path, gross"
88311,Decalcify tissue
88312,"Special stains, Group 1"
88313,"Special stains, Group 2"
88314,Histochemical stains add-on
88319,Enzyme histochemistry
88321,Microslide consultation
88323,Microslide consultation
88325,Comprehensive review of data
88329,Path consult introp
88331,"Path consult intraop, 1 bloc"
88332,Path consult intraop addl
88333,"Intraop cyto path consult, 1"
88334,Intraop cyto path consult 2
88341,Immunohisto antibody slide
88344,Immunohisto antibody slide
88348,Electron microscopy
88355,"Analysis, skeletal muscle"
88356,"Analysis, nerve"
88358,"Analysis, tumor"
88362,Nerve teasing preparations
88363,Xm archive tissue molec anal
88364,In situ hybridization (FISH)
88365,Insitu hybridization (FISH)
88366,In situ hybridization (FISH)
88367,"Insitu hybridization, auto"
88368,"Insitu hybridization, manual"
88369,M/phmtrc alysishquant/semiq
88371,"Protein, Western Blot tissue"
88372,Protein analysis w/probe
88373,M/phmtrc alys ishquant/semiq
88374,M/phmtrc alys ishquant/semiq
88375,Optical endomicroscpy interp
88377,M/phmtrc alys ishquant/semiq
88380,"Microdissection, laser"
88381,"Microdissection, manual"
88387,Tiss exam molecular study
88388,Tiss ex molecul study add-on
88399,Surgical pathology procedure
88720,Bilirubin total transcut
88738,Hgb quant transcutaneous
88740,Transcutaneous carboxyhb
88741,Transcutaneous methb
88749,In vivo lab service
89049,CHCT for mal hyperthermia
89050,Body fluid cell count
89051,Body fluid cell count
89055,"Leukocyte assessment, fecal"
89060,Exam synovial fluid crystals
89125,Specimen fat stain
89160,Exam feces for meat fibers
89190,Nasal smear for eosinophils
89220,Sputum specimen collection
89230,Collect sweat for test
89240,Pathology lab procedure
89250,Cultr oocyte/embryo <4 days
89251,Cultr oocyte/embryo <4 days
89253,Embryo hatching
89254,Oocyte identification
89255,Prepare embryo for transfer
89257,Sperm identification
89258,Cryopreservation embryo(s)
89259,"Cryopreservation, sperm"
89260,"Sperm isolation, simple"
89261,"Sperm isolation, complex"
89264,Identify sperm tissue
89268,Insemination of oocytes
89272,Extended culture of oocytes
89280,Assist oocyte fertilization
89281,Assist oocyte fertilization
89290,"Biopsy, oocyte polar body"
89291,"Biopsy, oocyte polar body"
89300,Semen analysis w/Huhner
89310,Semen analysis w/count
89320,Semen anal vol/count/mot
89321,"Semen anal, sperm detection"
89322,"Semen anal, strict criteria"
89325,Sperm antibody test
89329,Sperm evaluation test
89330,"Evaluation, cervical mucus"
89331,Retrograde ejaculation anal
89335,Cryopreserve testicular tiss
89337,Cryopreservation oocyte(s)
89342,Storage/year embryo(s)
89343,Storage/year sperm/semen
89344,Storage/year reprod tissue
89346,Storage/year oocyte(s)
89352,Thawing cryopresrved embryo
89353,Thawing cryopreserved sperm
89354,Thaw cryoprsvrd reprod tiss
89356,Thawing cryopresrved oocyte
89398,Unlisted reprod med lab proc
90281,"Human Ig, im"
90283,"Human Ig, IV"
90284,"Human Ig, SC"
90287,Botulinum antitoxin
90288,"Botulism Ig, IV"
90291,"CMV Ig, IV"
90296,Diphtheria antitoxin
90371,"Hep b Ig, im"
90375,"Rabies Ig, im/sc"
90376,"Rabies Ig, heat treated"
90378,RSV mab im 50mg
90384,"Rh Ig, full-dose, im"
90385,"Rh Ig, minidose, im"
90386,"Rh Ig, IV"
90389,"Tetanus Ig, im"
90393,Vaccinia Ig im
90396,"Varicella-zoster Ig, im"
90399,Immune globulin
90460,Im admin 1st/only component
90461,Im admin each addl component
90471,Immunization admin
90472,"Immunization admin, each add"
90473,Immune admin oral/nasal
90474,Immune admin oral/nasal addl
90476,"Adenovirus vaccine, type 4"
90477,"Adenovirus vaccine, type 7"
90581,Anthrax vaccine sc or im
90585,"BCG vaccine, percut"
90586,"BCG vaccine, intravesical"
90630,IIV4 flu vacc no preserv ID
90632,"Hep A vaccine, adult im"
90633,HepA vacc ped/adol 2 dose im
90634,HepA vacc ped/adol 3 dose im
90636,"Hep A/hep B vacc, adult im"
90653,IIV adjuvant vaccine im
90660,LAIV3 vaccine intranasal
90664,LAIV vacc pandemic intranasl
90667,IIV vacc pandemic adjuvt im
90668,IIV vaccine pandemic im
90670,PCV13 vaccine im
90672,LAIV4 vaccine intranasal
90675,"Rabies vaccine, im"
90676,"Rabies vaccine, id"
90680,RV5 vacc 3 dose live oral
90681,RV1 vacc 2 dose live oral
90690,"Typhoid vaccine, oral"
90691,"Typhoid vaccine, im"
90697,DTaP-IPV-Hib-HepB vaccine IM
90700,"DTaP vaccine, < 7 yrs, im"
90702,DT vaccine under 7 yrs im
90707,"MMR vaccine, sc"
90710,"MMRV vaccine, sc"
90713,"Poliovirus, IPV, sc/im"
90714,Td vacc no presv 7 yrs+ im
90715,Tdap vaccine >7 im
90716,VAR vaccine live sc
90717,"Yellow fever vaccine, sc"
90723,"DTaP-HepB-IPV vaccine, im"
90732,PPSV23 vacc 2 yrs+ sc/im
90733,MPSV4 vaccine sc
90736,HZV vaccine live sc
90738,"Inactivated JE vacc, im"
90743,HepB vacc 2 dose adolesc im
90744,HepB vacc 3 dose ped/adol im
90746,HepB vacc 3 dose adult im
90749,Vaccine toxoid
90785,Psytx complex interactive
90791,Psych diagnostic evaluation
90792,Psych diag eval w/med srvcs
90839,Psytx crisis initial 60 min
90840,Psytx crisis ea addl 30 min
90845,Psychoanalysis
90849,Multiple family group psytx
90853,Group psychotherapy
90863,Pharmacologic mgmt w/psytx
90865,Narcosynthesis
90867,Tcranial magn stim tx plan
90868,Tcranial magn stim tx deli
90869,Tcran magn stim redetemine
90870,Electroconvulsive therapy
90875,Psychophysiological therapy
90876,Psychophysiological therapy
90880,Hypnotherapy
90882,Environmental manipulation
90885,Psy evaluation of records
90887,Consultation with family
90889,Preparation of report
90899,Psychiatric service/therapy
90901,"Biofeedback train, any meth"
90911,Biofeedback peri/uro/rectal
90935,Hemodialysis one evaluation
90937,"Hemodialysis, repeated eval"
90940,Hemodialysis access study
90945,Dialysis one evaluation
90947,"Dialysis, repeated eval"
90951,"ESRD serv, 4 visits p mo, <2"
90952,"ESRD serv, 2-3 vsts p mo, <2"
90953,"ESRD serv, 1 visit p mo <2yr"
90954,"ESRD serv, 4 vsts p mo, 2-11"
90955,"ESRD srv 2-3 vsts p mo, 2-11"
90956,"ESRD srv, 1 visit p mo, 2-11"
90957,"ESRD srv, 4 vsts p mo, 12-19"
90958,"ESRD srv 2-3 vsts p mo,12-19"
90959,"ESRD serv, 1 vst p mo, 12-19"
90960,"ESRD srv, 4 visits p mo, 20+"
90961,"ESRD srv, 2-3 vsts p mo, 20+"
90962,"ESRD serv, 1 visit p mo, 20+"
90963,"ESRD home pt, serv p mo, <2"
90964,"ESRD home pt serv p mo, 2-11"
90965,ESRD home pt serv p mo 12-19
90966,"ESRD home pt, serv p mo, 20+"
90967,"ESRD home pt serv p day, <2"
90968,"ESRD home pt srv p day, 2-11"
90969,ESRD home pt srv p day 12-19
90970,"ESRD home pt serv p day, 20+"
90989,"Dialysis training, complete"
90993,"Dialysis training, incompl"
90997,Hemoperfusion
90999,Dialysis procedure
91010,Esophagus motility study
91013,Esophgl motil w/stim/perfus
91020,Gastric motility studies
91022,Duodenal motility study
91030,Acid perfusion of esophagus
91034,Gastroesophageal reflux test
91035,G-esoph reflx tst w/electrod
91037,Esoph imped function test
91038,Esoph imped funct test > 1hr
91065,Breath hydrogen/methane test
91110,GI tract capsule endoscopy
91111,Esophageal capsule endoscopy
91112,GI wireless capsule measure
91117,Colon motility 6 hr study
91120,Rectal sensation test
91122,Anal pressure record
91132,Electrogastrography
91133,Electrogastrography w/test
91200,Liver elastography
91299,Gastroenterology procedure
92002,"Eye exam, new patient"
92004,"Eye exam, new patient"
92014,Eye exam&tx estab pt >=1 vst
92015,Determine refractive state
92018,New eye exam & treatment
92019,Eye exam & treatment
92020,Special eye evaluation
92025,Corneal topography
92060,Special eye evaluation
92065,Orthoptic/pleoptic training
92071,Contact lens fitting for tx
92072,Fit contac lens for managmnt
92081,Visual field examination(s)
92082,Visual field examination(s)
92100,Serial tonometry exam(s)
92132,Cmptr ophth dx img ant segmt
92133,Cmptr ophth img optic nerve
92134,Cptr ophth dx img post segmt
92136,Ophthalmic biometry
92145,Corneal hysteresis deter
92225,"Special eye exam, initial"
92226,"Special eye exam, subsequent"
92227,Remote dx retinal imaging
92228,Remote retinal imaging mgmt
92230,Eye exam with photos
92250,Eye exam with photos
92260,Ophthalmoscopy/dynamometry
92265,Eye muscle evaluation
92270,Electro-oculography
92275,Electroretinography
92283,Color vision examination
92284,Dark adaptation eye exam
92285,Eye photography
92286,Internal eye photography
92287,Internal eye photography
92310,Contact lens fitting
92311,Contact lens fitting
92312,Contact lens fitting
92313,Contact lens fitting
92314,Prescription of contact lens
92315,Rx cntact lens aphakia 1 eye
92316,Rx cntact lens aphakia 2 eye
92317,Rx corneoscleral cntact lens
92325,Modification of contact lens
92326,Replacement of contact lens
92340,Fit spectacles monofocal
92341,Fit spectacles bifocal
92342,Fit spectacles multifocal
92352,Fit aphakia spectcl monofocl
92353,Fit aphakia spectcl multifoc
92354,Fit spectacles single system
92355,Fit spectacles compound lens
92358,Aphakia prosth service temp
92370,Repair & adjust spectacles
92371,Repair & adjust spectacles
92502,Ear and throat examination
92504,Ear microscopy examination
92507,Speech/hearing therapy
92508,Speech/hearing therapy
92511,Nasopharyngoscopy
92512,Nasal function studies
92516,Facial nerve function test
92520,Laryngeal function studies
92521,Evaluation of speech fluency
92522,Evaluate speech production
92523,Speech sound lang comprehen
92524,Behavral qualit analys voice
92526,Oral function therapy
92531,Spontaneous nystagmus study
92532,Positional nystagmus test
92533,Caloric vestibular test
92534,Optokinetic nystagmus test
92540,Basic vestibular evaluation
92541,Spontaneous nystagmus test
92542,Positional nystagmus test
92544,Optokinetic nystagmus test
92545,Oscillating tracking test
92546,Sinusoidal rotational test
92547,Supplemental electrical test
92548,Posturography
92550,Tympanometry & reflex thresh
92551,"Pure tone hearing test, air"
92552,"Pure tone audiometry, air"
92553,"Audiometry, air & bone"
92555,Speech threshold audiometry
92556,"Speech audiometry, complete"
92557,Comprehensive hearing test
92558,Evoked auditory test qual
92559,Group audiometric testing
92560,"Bekesy audiometry, screen"
92561,"Bekesy audiometry, diagnosis"
92562,Loudness balance test
92563,Tone decay hearing test
92564,SISI hearing test
92565,"Stenger test, pure tone"
92567,Tympanometry
92568,Acoustic refl threshold tst
92570,Acoustic immittance testing
92571,Filtered speech hearing test
92572,Staggered spondaic word test
92575,Sensorineural acuity test
92576,Synthetic sentence test
92577,"Stenger test, speech"
92579,Visual audiometry (VRA)
92582,Conditioning play audiometry
92583,Select picture audiometry
92584,Electrocochleography
92585,"Auditor evoke potent, compre"
92586,"Auditor evoke potent, limit"
92587,Evoked auditory test limited
92588,Evoked auditory tst complete
92590,Hearing aid exam one ear
92591,"Hearing aid exam, both ears"
92592,Hearing aid check one ear
92593,"Hearing aid check, both ears"
92594,"Electro hearng aid test, one"
92595,"Electro hearng aid tst, both"
92596,Ear protector evaluation
92597,Oral speech device eval
92601,Cochlear implt f/up exam < 7
92602,Reprogram cochlear implt < 7
92603,Cochlear implt f/up exam 7 >
92604,Reprogram cochlear implt 7 >
92605,Ex for nonspeech device rx
92606,Non-speech device service
92607,"Ex for speech device rx, 1hr"
92608,Ex for speech device rx addl
92609,Use of speech device service
92610,Evaluate swallowing function
92611,Motion fluoroscopy/swallow
92618,Ex for nonspeech dev rx add
92620,"Auditory function, 60 min"
92621,"Auditory function, + 15 min"
92625,Tinnitus assessment
92626,Eval aud rehab status
92627,Eval aud status rehab add-on
92630,Aud rehab pre-ling hear loss
92633,Aud rehab postling hear loss
92640,Aud brainstem implt programg
92700,Ent procedure/service
92920,Prq cardiac angioplast 1 art
92921,Prq cardiac angio addl art
92924,Prq card angio/athrect 1 art
92925,Prq card angio/athrect addl
92928,Prq card stent w/angio 1 vsl
92929,Prq card stent w/angio addl
92933,Prq card stent/ath/angio
92934,Prq card stent/ath/angio
92937,Prq revasc byp graft 1 vsl
92938,Prq revasc byp graft addl
92941,Prq card revasc mi 1 vsl
92943,Prq card revasc chronic 1vsl
92944,Prq card revasc chronic addl
92950,Heart/lung resuscitation CPR
92953,Temporary external pacing
92960,"Cardioversion electric, ext"
92961,"Cardioversion, electric, int"
92970,"Cardioassist, internal"
92971,"Cardioassist, external"
92973,Prq coronary mech thrombect
92974,"Cath place, cardio brachytx"
92975,"Dissolve clot, heart vessel"
92977,"Dissolve clot, heart vessel"
92986,Revision of aortic valve
92987,Revision of mitral valve
92990,Revision of pulmonary valve
92992,Revision of heart chamber
92993,Revision of heart chamber
92997,"Pul art balloon repr, percut"
92998,"Pul art balloon repr, percut"
93000,"Electrocardiogram, complete"
93005,"Electrocardiogram, tracing"
93010,Electrocardiogram report
93015,Cardiovascular stress test
